date,pair,period,strategy,total_trades,winning_trades,win_rate,total_profit,profit_after_fees
2025-04-02,ADAUSDT,1h,RSIStrategy,7,2,28.57%,$-55.87,$-55.75
2025-04-02,BTCUSDT,1h,RSIStrategy,7,0,0.00%,$-71.21,$-71.07
2025-04-02,LINKUSDT,1h,RSIStrategy,7,2,28.57%,$-20.78,$-20.74
2025-04-02,SOLUSDT,1h,RSIStrategy,7,1,14.29%,$-17.13,$-17.09
2025-04-03,ADAUSDT,1h,RSIStrategy,10,1,10.00%,$-60.41,$-60.29
2025-04-03,BNBUSDT,1h,RSIStrategy,1,1,100.00%,$2.15,$2.15
2025-04-03,BTCUSDT,1h,RSIStrategy,9,1,11.11%,$-68.79,$-68.65
2025-04-03,DOGEUSDT,1h,RSIStrategy,8,4,50.00%,$17.78,$17.74
2025-04-03,ETHUSDT,1h,RSIStrategy,2,1,50.00%,$-7.15,$-7.13
2025-04-03,LINKUSDT,1h,RSIStrategy,13,2,15.38%,$-18.69,$-18.65
2025-04-03,SOLUSDT,1h,RSIStrategy,14,2,14.29%,$-21.40,$-21.36
2025-04-03,UNIUSDT,1h,RSIStrategy,2,2,100.00%,$12.35,$12.33
2025-04-03,XRPUSDT,1h,RSIStrategy,1,0,0.00%,$-6.68,$-6.67
2025-04-05,BTCUSDT,1h,RSIStrategy,4,0,0.00%,$-32.05,$-31.99
2025-04-05,DOGEUSDT,1h,RSIStrategy,1,0,0.00%,$-6.70,$-6.69
2025-04-05,DOTUSDT,1h,RSIStrategy,12,0,0.00%,$-48.59,$-48.49
2025-04-05,ETHUSDT,1h,RSIStrategy,4,0,0.00%,$-36.35,$-36.28
2025-04-05,SOLUSDT,1h,RSIStrategy,7,1,14.29%,$-14.37,$-14.34
2025-04-06,ADAUSDT,1h,RSIStrategy,12,0,0.00%,$-97.41,$-97.21
2025-04-06,BNBUSDT,1h,RSIStrategy,12,0,0.00%,$-117.86,$-117.63
2025-04-06,BTCUSDT,1h,RSIStrategy,11,0,0.00%,$-111.23,$-111.01
2025-04-06,DOGEUSDT,1h,RSIStrategy,13,0,0.00%,$-118.59,$-118.35
2025-04-06,DOTUSDT,1h,RSIStrategy,8,0,0.00%,$-43.82,$-43.73
2025-04-06,ETHUSDT,1h,RSIStrategy,11,0,0.00%,$-128.57,$-128.31
2025-04-06,LINKUSDT,1h,RSIStrategy,11,0,0.00%,$-43.59,$-43.51
2025-04-06,SOLUSDT,1h,RSIStrategy,11,0,0.00%,$-30.43,$-30.37
2025-04-06,UNIUSDT,1h,RSIStrategy,11,0,0.00%,$-40.42,$-40.34
2025-04-06,XRPUSDT,1h,RSIStrategy,12,0,0.00%,$-66.11,$-65.98
2025-04-07,ADAUSDT,1h,RSIStrategy,8,2,25.00%,$-30.48,$-30.42
2025-04-07,BNBUSDT,1h,RSIStrategy,6,2,33.33%,$-11.00,$-10.98
2025-04-07,BTCUSDT,1h,RSIStrategy,8,2,25.00%,$-24.68,$-24.63
2025-04-07,DOGEUSDT,1h,RSIStrategy,10,4,40.00%,$-9.71,$-9.69
2025-04-07,DOTUSDT,1h,RSIStrategy,11,5,45.45%,$7.05,$7.03
2025-04-07,ETHUSDT,1h,RSIStrategy,8,2,25.00%,$-55.98,$-55.86
2025-04-07,LINKUSDT,1h,RSIStrategy,8,2,25.00%,$-15.50,$-15.47
