pair,period,strategy,total_trades,total_profit,winning_trades,win_rate,profit_after_fees
XRPBTC,15m,TrendFollowingStrategy,53,3036.61,8,15.09,3030.53
DOGEBTC,15m,EnhancedRSIStrategy,1040,2796.16,344,33.08,2790.57
DOTBTC,15m,TrendFollowingStrategy,50,2692.19,12,24.0,2686.81
XRPUSDT,15m,TrendFollowingStrategy,68,2568.07,13,19.12,2562.93
DOTBTC,15m,BollingerBandStrategy,50,2388.09,8,16.0,2383.31
DOGEUSDT,4h,TrendFollowingStrategy,14,2387.5,2,14.29,2382.72
XRPBTC,15m,BollingerBandStrategy,66,2287.55,8,12.12,2282.98
XRPBTC,15m,MovingAverageCrossover,70,2100.91,10,14.29,2096.71
ADAUSDT,15m,TrendFollowingStrategy,69,1872.19,17,24.64,1868.45
XRPUSDT,15m,MovingAverageCrossover,61,1842.89,9,14.75,1839.2
DOGEUSDT,15m,EnhancedRSIStrategy,824,1842.25,275,33.37,1838.57
XRPUSDT,4h,TrendFollowingStrategy,16,1789.34,3,18.75,1785.76
DOGEUSDT,4h,BollingerBandStrategy,13,1774.91,2,15.38,1771.36
XRPUSDT,4h,MovingAverageCrossover,10,1729.01,2,20.0,1725.55
DOGEUSDT,4h,MomentumStrategy,23,1688.97,4,17.39,1685.59
XRPUSDT,4h,MomentumStrategy,22,1660.55,3,13.64,1657.23
DOGEUSDT,4h,MovingAverageCrossover,19,1617.07,1,5.26,1613.84
XRPUSDT,4h,RSIStrategy,4,1589.81,2,50.0,1586.63
XRPBTC,4h,TrendFollowingStrategy,12,1513.28,3,25.0,1510.25
XRPUSDT,2h,MovingAverageCrossover,23,1378.63,4,17.39,1375.87
XRPUSDT,4h,BollingerBandStrategy,20,1358.49,2,10.0,1355.77
ADAUSDT,15m,MomentumStrategy,102,1354.25,20,19.61,1351.54
ETHBTC,15m,BollingerBandStrategy,66,1347.45,10,15.15,1344.76
XRPBTC,4h,BollingerBandStrategy,8,1340.02,3,37.5,1337.34
XRPUSDT,15m,MomentumStrategy,89,1304.51,16,17.98,1301.9
ADAUSDT,4h,TrendFollowingStrategy,14,1267.07,3,21.43,1264.53
XRPUSDT,1d,MovingAverageCrossover,2,1169.77,1,50.0,1167.43
XRPUSDT,2h,TrendFollowingStrategy,28,1156.62,6,21.43,1154.3
UNIUSDT,4h,MomentumStrategy,17,1156.19,2,11.76,1153.87
ETHBTC,15m,MomentumStrategy,1,1115.05,1,100.0,1112.82
XRPUSDT,15m,BollingerBandStrategy,64,1113.91,9,14.06,1111.68
ADAUSDT,15m,BollingerBandStrategy,71,1083.58,16,22.54,1081.41
DOTBTC,4h,BollingerBandStrategy,10,1076.24,2,20.0,1074.09
XRPUSDT,1h,MomentumStrategy,86,1066.55,15,17.44,1064.42
DOTUSDT,15m,TrendFollowingStrategy,82,1040.58,14,17.07,1038.5
ADAUSDT,2h,TrendFollowingStrategy,24,973.73,6,25.0,971.79
DOTBTC,1h,TrendFollowingStrategy,56,968.84,9,16.07,966.91
XRPBTC,4h,MovingAverageCrossover,14,960.89,3,21.43,958.97
LINKUSDT,15m,MomentumStrategy,101,924.56,21,20.79,922.71
UNIUSDT,15m,BollingerBandStrategy,76,907.43,13,17.11,905.62
DOGEUSDT,1h,MomentumStrategy,74,882.52,16,21.62,880.76
LINKBTC,15m,MovingAverageCrossover,64,870.99,8,12.5,869.25
DOTUSDT,15m,BollingerBandStrategy,80,863.48,15,18.75,861.75
DOGEUSDT,1h,TrendFollowingStrategy,52,863.3,9,17.31,861.57
DOGEUSDT,1d,MomentumStrategy,3,859.27,1,33.33,857.55
ADAUSDT,4h,MovingAverageCrossover,11,828.1,1,9.09,826.44
ETHBTC,4h,BollingerBandStrategy,15,815.8,2,13.33,814.17
UNIUSDT,15m,MomentumStrategy,122,790.76,20,16.39,789.18
ETHBTC,15m,MovingAverageCrossover,56,772.53,7,12.5,770.99
XRPUSDT,1h,MovingAverageCrossover,64,770.8,12,18.75,769.26
